id,question,option_a,option_b,option_c,option_d,correct_option
OIC-019-02-A,What is the main purpose of social protection benefits in France?,To provide financial support to individuals,To fund healthcare services directly,To offer subsidies for housing costs,To pay daily allowances and retirement pensions,d
OIC-019-11-A,Who is the preferred doctor for each insured person or entitled person aged 16 or over?,General practitioner,Hospital doctor,Other specialist doctors,GP with consent,d
OIC-019-06-B,What is the main purpose of the Social Security Financing Act?,To control social spending,To increase healthcare costs,To provide financial assistance for dependent elderly people (EHPAD),To fund medical research and development,to control social spending
OIC-019-09-A,What is the main mission of social security?,To provide financial assistance to individuals who are unemployed or retired,To pay for medical expenses and health care services,To fund public education programs,To manage healthcare resources and prevent disease outbreaks,b
OIC-019-01-A,What is the main difference between social insurance and supplementary health insurance?,Social insurance provides financial support for individuals in case of illness or unemployment,Supplementary health insurance covers only medical expenses,"Both provide financial support, but social insurance focuses on income protection",Supplementary health insurance is mandatory for all citizens,c
OIC-283-02-A,What is considered chronic constipation?,Fewer than 3 bowel movements per week,"A combination of fewer than 3 bowel movements per week, exaggerated efforts to push, known as dyschezia, and a feeling of incomplete evacuation",A sudden onset of diarrhea followed by constipation,"Constipation is one of the most common symptoms in gastroenterology, with a prevalence of 5-10%.",option_b
OIC-283-06-B,What is the main difference between idiopathic constipation and secondary constipation?,"A slowdown in colonic transit, a problem with rectal evacuation","A reduction in bowel movements due to dehydration of stools, a functional disorder or an anatomical disorder","An organic disease causing the constipation, investigated during the interview","A decrease in frequency and amplitude of colonic contractions, with dehydrated stools",b
OIC-283-01-B,What percentage of pediatric consultations are due to constipation?,10%,5%,20%,15%,b
OIC-283-05-A,What is the main difference between constipation in children and adults?,"Constipation in children typically involves more frequent bowel movements, while adults may experience infrequent bowel movements.","Constipation in adults often has a secondary cause such as anal canal cancer, whereas in children it is usually due to a lack of fiber intake or physical activity.","Both constipation in children and adults can be caused by a lack of water intake, while constipation in adults may also be related to medication use.","Constipation in children typically involves more severe symptoms such as abdominal pain and vomiting, whereas adults are generally asymptomatic.",b
OIC-283-07-A,What is the recommended amount of water to drink daily for adults?,25g,50g,1000ml,1500ml,b
OIC-283-09-B,What is the recommended approach to managing chronic constipation in children?,A. Dietary changes alone,B. Medication only,C. Psychological treatment only,D. Hygienic and dietary measures alone,D
OIC-283-04-B,When should a colonoscopy be offered to someone with chronic constipation?,If they are over 50 years old,In the event of warning signs such as rectal discharge or change in general condition,Only if there is a family history of colon cancer,Never,option_a
OIC-283-08-B,What is the main complication associated with anal fissures in children?,Relief from pain,Anorexia,Sub-occlusions,Encopresis,a
OIC-283-03-B,What is a common mechanism contributing to functional constipation in children?,Lack of water intake,Excessive fiber intake,Hypertension of the anal sphincter,Constipation of the rectal ampulla,option_a
OIC-005-09-A,What is the main difference between a medical accident and an Iatrogenic disease?,"A medical accident occurs when a patient receives treatment that causes harm, while an Iatrogenic disease occurs when a patient's condition worsens due to a medication or procedure.","A medical accident is caused by the healthcare professional, while an Iatrogenic disease is caused by the patient themselves.","Both can be caused by errors in diagnosis and treatment, but only one should be used to describe both types of events.","Only a medical accident occurs when a patient receives treatment that causes harm, while an Iatrogenic disease occurs when a patient's condition worsens due to a medication or procedure.",option_a
OIC-005-11-A,What is the main difference between an error and a therapeutic hazard?,An error is any mistake made by a healthcare professional during treatment.,A therapeutic hazard is an unforeseen event that occurs without fault of the practitioner.,"Both errors and therapeutic hazards are caused by the same factors, such as medication or equipment malfunctions.",The definition of therapeutic hazard only applies to hospital settings.,b
OIC-005-12-B,What is the primary factor contributing to litigation following a medical accident?,Patient's state of health,Seriousness of associated illnesses,Vulnerability of certain populations,Effective communication within the team and with the patient in the therapeutic relationship,option_d
OIC-005-13-A,"What is the primary reason for implementing systems to identify, analyze, and prevent errors in an organization?",To reduce stress,To increase knowledge of human factors,To improve communication among team members,To enhance patient care,To reduce stress
OIC-005-15-B,What is the main purpose of a positive error culture in healthcare?,To encourage reporting of errors,To discourage reporting of errors,To analyze files for potential errors,To implement improvement measures to prevent recurrence of errors,a
OIC-005-07-A,What is the main idea of Article L.1142-1 of the French Public Health Code?,Health professionals and establishments are only liable for the harmful consequences of preventive or therapeutic acts if they are at fault.,The onus is on the patient to prove fault in order to claim medical liability.,"Article L.1142-1 establishes a duty of care towards patients, not a liability for their actions.",The event giving rise to liability must be a proven fault that can take different forms.,option_b
OIC-005-06-A,What is the main idea of no-fault liability?,Liability based on fault,Compensation for negligence,No breach of professional rules or error,No proven fault required for compensation,d
OIC-005-02-A,What is the main purpose of criminal liability in medical practice?,To punish doctors for their actions,To protect patients from harm,To ensure that doctors follow established protocols,To provide a safe environment for patients,b
OIC-005-01-A,What is the main purpose of seeking liability for medical professionals and institutions?,To penalize them,To compensate victims,To ensure compliance with regulations,To provide a safe environment for patients,b
OIC-005-10-A,What is a nosocomial infection?,An infection contracted while visiting a friend's house,A type of food poisoning,An infection that appears immediately after admission to a hospital,A viral illness,c
OIC-005-08-A,What does 'error' refer to in the context of human behavior?,A mistake made by an individual,An action taken without a purpose,A deliberate act intended to achieve a specific goal,A natural occurrence that cannot be controlled,a
OIC-005-04-A,What is the main difference between official misconduct and fault in the organisation and operation of the department?,Official Misconduct,Fault in the Organisation and Operation of the Department,Personal Misconduct,Administrative Misconduct,option_b
OIC-005-05-A,What is disciplinary liability in relation to medical professionals?,A disciplinary action taken against a doctor for violating professional ethics.,A warning given by the authorities for minor infractions.,The right of patients to sue doctors for damages if they are injured during treatment.,The power of public prosecutors to investigate and prosecute medical professionals for serious crimes.,A disciplinary action taken against a doctor for violating professional ethics.
OIC-005-14-B,What is the main purpose of a Safety Barrier in healthcare?,To prevent errors and accidents from occurring,To recover from errors and accidents that have already occurred,To limit the consequences for patients who experience adverse events,To improve patient outcomes by reducing the risk of harm,d
OIC-005-03-A,What is the main difference between being personally liable and being held civilly liable as a medical professional?,Doctors are not personally liable if they exceed the scope of their mission,"Being civilly liable means you can sue others for damages, while being personally liable only applies to your own actions","You must be employed by an organization to be held civilly liable, but not personally liable unless you're acting outside of your job",The principle of professional independence is irrelevant in determining liability,option_b
OIC-050-16-B,What is a common indication for immediate surgical management of spermatic cord torsion?,Acute bursal disease,Fever and inflammatory appearance of the bursa in testicular ultrasound with Doppler,Hydatid torsion,Orchi-epididymitis,b
OIC-050-14-A,What is the recommended age for treating phimosis in children?,3-4 years,2-3 years,Before 1 year,At birth,a
OIC-050-07-B,What is the primary treatment for phimosis in adults?,Orchiectomy,Surgical excision of the foreskin,Penile traction,Orchidopexy with penile suspension,b
OIC-050-12-B,What is the primary indication for surgical lowering of a cryptorchid testicle?,To improve fertility,To reduce the risk of cancer,To facilitate monitoring of the testicle,To lower the testicle to increase its size,b
OIC-050-11-B,What is the primary indication for imaging in adults with undescended testes?,Cryptorchidism is a major risk factor for testicular cancer.,Undescended testes are more likely to develop varicoceles.,Imaging is not necessary if the testicle can be felt on clinical examination.,MRI is contraindicated in adults with undescended testes due to radiation exposure.,option_a
OIC-050-13-A,What is a common cause of phimosis in adults?,A. Poorly controlled diabetes,B. A bacterial infection,C. A viral illness,D. A genetic condition,a
OIC-050-02-A,What is the primary difference between testicular torsion and necrotizing fasciitis?,"Testicular torsion occurs after 40 years old, while necrotizing fasciitis affects fragile patients","Necrotizing fasciitis has a portal of entry in all cases, whereas testicular torsion is rare after age 40",Both conditions require emergency surgical intervention regardless of ischemia duration,Testicular Doppler ultrasound can be used to delay treatment for necrotizing fasciitis,b
OIC-050-09-B,What is the primary indication for scrotal ultrasound in cases of hydrocele?,To confirm the diagnosis of epididymitis,To rule out testicular tumour,To assess the condition of the underlying testicle to rule out orchi-epididymitis,To diagnose strangulated inguino-scrotal hernia,to confirm the diagnosis of epididymitis
OIC-050-05-B,What is the primary diagnostic approach for orchi-epididymitis?,Blood cultures,Urine culture,PCR of Chlamydia trachomatis and gonococcus on the first urine stream in young men,Scrotal ultrasound scan,c
OIC-050-15-A,What is the typical age range for spermatic cord torsion in boys and men?,12-18 years,30-40 years,20-25 years,40+ years,b
OIC-050-08-A,What is the main difference between a hydrocele and a cord cyst?,"A hydrocele is caused by an inflammatory process, while a cord cyst is due to a genetic mutation.","A hydrocele is more common in adults than children, while a cord cyst is more common in children.",Both are benign conditions that can be treated with surgery.,Hydroceles and cord cysts are both fluid-filled swellings that require emergency treatment.,option_a
OIC-050-04-A,What is the most common cause of orchi-epididymitis in boys?,Urogenital infections (2C-161),Chronic prostatitis,Prostate adenoma,Lifting the testicle relieves the pain (positive Prehn's sign),option_a
OIC-050-06-A,What should be done if an STI is suspected?,Administer ceftriaxone 500 mg in one intramuscular injection,Use Doxycycline 200 mg per day for 10 days,Prescribe antibiotics targeting enterobacteria with a fluoroquinolone or cephalosporin,Wear a jockstrap and prescribe painkillers only,option_a
OIC-050-01-A,What is the main difference between a painful bursa enlargement in boys and men?,A testicular migration disorder,Anomalies of the urethral meatus,Enlargement of the epididymis,Cryptorchidism,a
OIC-050-10-A,What is the main difference between a true ectopia and a cryptorchidism?,True Ectopia,Cryptorchidism,Undescended Testicle,Eccentric Position,option_b
OIC-076-17-B,What is the recommended treatment for hospital withdrawal in patients with severe dependence on alcohol?,Hospitalization,Benzodiazepine only,Vitamin B1 supplementation,Monitoring signs of withdrawal only,option_b
OIC-076-20-B,What is a common 'addictolytic' drug treatment for alcohol dependence?,Nalmefene,Baclofen,Acamprosate,Disulfiram,a
OIC-076-10-A,What is a common consequence of alcohol misuse on family members?,Separations,Child endangerment,Warning,Debts,option_b
OIC-076-11-A,What is the primary purpose of measuring Mean Blood Volume (MBV)?,To monitor blood pressure,To assess liver function,To detect pancreatitis,To evaluate nutritional status,b
OIC-076-07-A,What are the typical symptoms that appear within 72 hours after stopping alcohol consumption?,Tremor,Seizures,Insomnia,Delirium Tremens,b
OIC-076-02-A,What is the main difference between low-risk use and high-risk use?,Low-risk use involves a moderate level of consumption,High-risk use involves excessive consumption,Low-risk use involves no risk at all,High-risk use involves a complete loss of control,option_c
OIC-076-04-A,What is the recommended weekly alcohol consumption for low-risk drinkers?,10 standard drinks,20 standard drinks,5 standard drinks,No more than 1 standard drink a day,option_a
OIC-076-08-A,What is the primary characteristic of coma caused by ethyl alcohol?,Calm and alert,Unresponsive and lethargic,Confused and agitated,Drowsy and disoriented,b
OIC-076-05-A,What is the main difference between Harmful Use and Dependence according to ICD-11 criteria?,"Alcohol consumption leads to physical damage or psychological harm, but not both",At least three of these criteria occur simultaneously over a year,The subject must be aware of the link between consequence and use for dependence,Harmful Use is diagnosed when there are no criteria for dependence,b
OIC-076-06-A,How often do you drink alcohol?,Never,Once a month or less,2 to 4 times a month,4 or more times a week,b
OIC-076-15-A,What is the primary goal in managing alcohol dependence?,Complete cessation of consumption,Gradual reduction in consumption,Long-term support with medication,Informing patients about self-help groups,option_a
OIC-076-14-B,What is the primary goal of Early Identification and Brief Intervention (EIBI) for alcohol misuse?,To identify individuals who are not dependent on alcohol,To reduce consumption to below low-risk guidelines,To provide a comprehensive assessment of an individual's drinking habits,To increase the patient's dependence on alcohol,to reduce consumption to below low-risk guidelines
OIC-076-18-B,What is the primary goal in managing a Delirium Tremens (DT) patient?,Provide hydration and vitamin B1 supplementation,Administer high-dose benzodiazepines immediately,"Monitor blood ionogram, creatinine, and phosphorus levels",Treat with anticonvulsant medication,a
OIC-076-09-A,What is the most common psychiatric comorbidity associated with alcohol misuse?,Anxiety disorders,Schizophrenia,Bipolar disorder,Pathological gambling,option_a
OIC-076-03-A,What is the main difference between dependence (ICD 11) and alcohol use disorder (DSM-5)?,"Dependence refers to a mild condition, while alcohol use disorder is for those with no symptoms.","Alcohol use disorder corresponds to moderate dependence in ICD 11, but severe dependence in DSM-5.",Both are used to describe the same level of addiction.,"Dependence refers to a condition where you can stop drinking on your own, while alcohol use disorder is for those who cannot stop even with treatment.",b
OIC-076-12-A,What is the primary risk factor for **Hepatocellular carcinoma** in individuals with alcohol dependence?,Colorectal cancer,Chronic calcific pancreatitis,Vitamin B1 deficiency,Gastric reflux disease,b
OIC-076-19-B,What is the primary goal of self-help groups?,To provide financial support,To offer social connections and peer support,To promote physical exercise,To educate on addiction prevention strategies,b
OIC-076-16-A,What is the primary goal of motivational interviewing?,To increase motivation to change behavior,To decrease resistance to treatment,To eliminate addiction entirely,To provide a comprehensive understanding of addiction,to increase motivation to change behavior
OIC-076-01-A,Who is the main figure for alcohol consumption in France?,Alcohol Dependence,Adele,The French President,A famous actor,option_a
OIC-076-13-A,What is the primary focus of primary prevention in addressing alcohol dependence?,Preventing early use,Reducing stigma,Increasing tolerance,Decreasing awareness,a
OIC-049-13-B,What is the primary intracranial process associated with Early Central Precocious Puberty (PP)?,Chiasma glioma,Hydrocephalus,Arachnoid cyst,Tumor of NF1,option_a
OIC-049-08-B,What is the primary function of LH in girls?,To stimulate the production of testosterone,To regulate the development of secondary sexual characteristics,To cause mammary gland development,To increase GH secretion peaks,b
OIC-049-12-B,What percentage of central precocious puberty cases are in girls?,50%,1000,20%,200%,b
OIC-049-07-B,What is the primary role of FSH in puberty?,To stimulate testicular growth,To produce testosterone and secondary sexual characteristics,To regulate sex hormone production,To increase GH secretion peaks,b
OIC-049-16-A,What is the correct definition of delayed puberty?,The onset of pubic hair growth before the age of 12,The absence of breast development after the age of 15,The presence of testicular enlargement before the age of 13,The absence of testicular enlargement after the age of 16,option_a
OIC-049-15-B,What hormone levels are typically measured during puberty?,Testosterone,Oestradiol,Inhibin B,Gonadotropins,option_a
OIC-049-18-B,What hormone levels are typically measured to assess the cause of delayed puberty in boys?,Testosterone,Oestradiol,TSH,Prolactin,option_a
OIC-049-05-B,When does the acceleration in statural growth rate begin?,At birth,After 1 year of age,During puberty,In infancy,c
OIC-049-11-A,What is the primary purpose of measuring body mass index (BMI)?,To diagnose normal and pathological puberty,To track changes in muscle mass over time,To identify individuals with a higher risk of developing certain health conditions,To determine if an individual is underweight or overweight,a
OIC-049-17-A,What is the primary indicator of delayed puberty in a child?,Family history of infertility,Smell disorder (anosmia),Personal history of chronic illness,Statural slowing/cracking (curve),option_d
OIC-049-02-A,What is the age at which isolated early pubic hair appears?,8,10,12,14,a
OIC-049-24-B,What is the primary indication for imaging examinations in abnormal pubertal development?,Pelvic ultrasound,Brain CT scan,Cardiovascular examination,Hormone level check,option_a
OIC-049-25-A,What is the primary purpose of a pelvic ultrasound in pathological puberty?,To rule out ovarian tumors or cysts,To assess bone age and growth rate,To diagnose uterine anomalies,To measure uterine length,a
OIC-049-01-A,What is a normal sign of puberty in girls?,Breast development (Tanner stage S2),Testicular enlargement,Pubic hair growth,Axillary hair growth,option_a
OIC-049-14-B,What is the intracranial process in Early Central Precocious Puberty?,Chiasma glioma,Arachnoid cyst,Hydrocephalus,Tumor,a
OIC-049-26-B,What is the typical age range for bone age to be considered 'advanced' in early puberty?,11-12 years,13-14 years,15-16 years,17-18 years,b
OIC-049-03-B,What is the typical range for the average pubertal growth peak in girls?,15-18 cm,20-25 cm,10-12 cm,30-35 cm,b
OIC-049-06-B,What is the primary function of FSH in boys?,To stimulate the development of secondary sexual characteristics,To regulate the production of testosterone,To increase the frequency and amplitude of growth hormone secretion peaks,To promote the growth of testicular volume,b
OIC-049-19-A,What is considered a simple pubertal delay?,Central Causes (Hypothalamo-Pituitary),Peripheral Causes,Congenital and Genetic,"Turner Syndrome: 45,X",option_a
OIC-049-04-B,What is the correct order of Tanner Stages for Girls' Breast Development?,S1,P2,G3,S4,S4
OIC-049-10-A,What is the primary indicator for diagnosing precocious puberty in a child?,Family or personal history of IUGR,Parental heights with genetic target height calculation,Visual signs of increased intracranial pressure,Analysis of growth rate (growth curve),option_a
OIC-049-09-A,What is the definition of precocious puberty?,A condition where children develop breasts before the age of 8,A condition where boys experience testicular growth before the age of 9,A condition where girls and boys both experience breast development at a non-early age,A condition where adults grow taller faster than usual,option_a
OIC-347-04-A,What is the typical cause of acute urine retention?,Prostatitis,BPH,Faecal impaction,Overload of the urinary tract system,b
OIC-347-01-A,What is the main cause of acute urine retention?,Benign prostatic hypertrophy,Prostate cancer,Lithiasis,Constipation,option_a
OIC-347-10-B,What is the main difference between bladder catheterisation and suprapubic catheterisation?,Bladder catheterisation allows for haematuria to be washed out,Suprapubic catheterisation clamps the urethra during insertion,Both methods allow for decubitus drainage,Suprapubic catheterisation is contraindicated in patients with a bladder tumour,b
OIC-347-09-A,What should be done in the case of fever associated with acute retention of urine?,Antibiotics,Prostate massage,Hospitalization and antibiotic therapy only,No treatment is necessary,a
OIC-347-07-A,What should you do immediately after noticing urinary retention?,Call an ambulance,Perform a physical examination,Administer medication for constipation,Wait until the symptoms resolve on their own,b
OIC-347-05-B,What is a common atypical clinical presentation of acute urinary retention in elderly patients?,Confusional syndrome,Painful bladder spasms,Autonomic hyper-reflexia,Sedation-induced analgesia,c
OIC-347-11-A,What should be done immediately after a patient experiences acute urine retention?,Clamp the bladder to prevent bleeding,Monitor the patient's blood pressure and heart rate,Assess the patient's overall health before proceeding,Use a different type of catheter,option_a
OIC-347-02-B,What is a common cause of acute urinary retention?,A mechanical obstruction in the urethra,Abnormal relaxation of the bladder neck,An overactive bladder,A neurological disorder affecting the autonomic nervous system,option_a
OIC-347-08-A,What is the primary indication for performing an additional examination after bladder drainage?,To check for kidney function,To look for urinary tract obstruction,To assess for bladder cancer,To evaluate blood pressure,to check for complications
OIC-347-03-A,What is the main cause of acute urinary retention in women?,Severe genital prolapse,Pelvic tumors,Constipation,Endovesical clotting,option_a
OIC-347-06-A,What is the main difference between acute urine retention and anuria?,"Acute urine retention occurs when the bladder is full, while anuria occurs when the kidneys are not producing urine.","Anuria is a condition where the patient has no pain or discomfort in their lower abdomen, whereas acute urine retention causes severe abdominal pain.","Both conditions can cause urinary tract infections, but anuria does not typically lead to UTIs.",Acute urine retention and anuria are both caused by a blockage in the urethra.,option_a
OIC-257-08-A,What is the primary goal of treatment for localized lower limb edema?,Restricting sodium intake,Increasing water intake,Using diuretics with a synergistic effect on natriuresis,Monitoring electrolyte levels,option_a
OIC-257-01-A,What is the main difference between localised and generalised lower limb oedema?,Oedema caused by inflammation,Generalised oedema resulting from a positive sodium and water balance,Oedema caused by lymphatic insufficiency,Localised oedema is not associated with hydrops,option_a
OIC-257-06-A,What is the primary cause of proteinuria in patients with localized lower limb oedema?,Hypertension,Nephrotic syndrome,Hematuria,Cardiac hypertrophy,b
OIC-257-03-B,What is the primary mechanism of edema formation in nephrotic syndrome?,True hypervolemia: primary sodium retention by the kidney during renal failure,The amount of plasma albumin determines the extracellular volume.,Effective hypovolemia secondary to cardiac insufficiency and reduced systemic vascular resistance,Activation of the renin-angiotensin-aldosterone system in heart failure,option_a
OIC-257-05-A,What is the main difference between localized oedema and generalised oedema?,Localized oedema has an inflammatory component,Generalised oedema has a lymphatic obstruction,"Localized oedema occurs in the subcutaneous tissues, while generalised oedema is located in the subcutaneous tissues and also affects the underlying tissues","Localized oedema is associated with cancer, while generalised oedema is not",c
OIC-257-07-A,What is the main cause of localized edema in the lower limbs?,Hypothyroidism,Cancer,Infection,Hepatitis A,b
OIC-257-02-B,What is the main cause of locally caused oedema?,An increase in venous pressure,A lymphatic obstacle,Local inflammatory pathology modifying capillary permeability due to inflammatory mediators,Dihydropyridine-type anti-calcic agents,option_a
OIC-299-06-B,What is the primary purpose of using Perfusion Sequences in imaging exploration for adult intracranial tumours?,To assess blood flow to the tumour,To evaluate the presence of a brain abscess,To identify areas of restricted diffusion,To determine the nature of contrast in MRI scans,to assess blood flow to the tumour
OIC-299-07-A,What is the primary cancer that needs to be searched for when a patient has cerebral metastases?,Brain Tumour,Cerebral Metastasis,Skin Cancer,Thyroid Cancer,option_a
OIC-299-03-B,What is the main histological type of brain tumour that often develops from arachnoid cells?,Pituitary Adenoma,Meningioma,Low-Grade Glioma (Glioblastoma),Metastasis,b
OIC-299-02-A,What is a primary intracranial tumour?,A tumour that originates in the brain itself,A tumour that originates from the meninges and cranial nerves,A tumour that develops outside of the brain but within the skull,A tumour that originates in the spinal cord,option_a
OIC-299-01-A,What is the most common type of intracranial tumour?,Glioma,Pituitary adenoma,Meningioma,Metastasis,c
OIC-299-09-B,What is the primary goal of corticosteroid therapy for peritumoral vasogenic edema in intracranial tumours?,Reduce inflammation,Increase blood pressure,Improve cognitive function,Decrease pain,a
OIC-299-04-B,What is the preferred location of Medulloblastoma?,Vestibular nerve,Cerebellum,Spinal cord,LCS,b
OIC-299-05-A,What is the typical clinical picture of intracranial hypertension syndrome (HTIC)?,A. Headache worsening with exertion and poor relief by painkillers,"B. Gradual worsening headache, nausea and vomiting ('jet'), paresis of the abducens nerve (VI)",C. Decreased visual acuity due to optic nerve damage,"D. Psychic slowing down, vigilance disorders",A
OIC-299-08-A,What is the main emergency associated with intracranial hypertension in a patient with an intracerebral tumour?,Epilepsy,Status Epilepticus,Intracranial Hypertension (ICHT),Cardio-tension collapse,option_c
OIC-010-03-B,What is the main difference between the subjective experience of the body and its objectification by medicine?,The subjective experience of the body is governed by natural laws,The objective experience of the body is solely based on physical characteristics,Both are equally important in healthcare,The patient's personal narrative is more relevant than their physical condition,option_a
OIC-010-02-B,What is one key difference between how healthcare professionals and patients experience their bodies?,"Healthcare professionals see illness as a physical phenomenon, while patients see it as a moral issue.",Patients are more likely to be physically active than healthcare professionals,"Healthcare professionals tend to focus on the body's physical changes, while patients focus on their emotional and psychological well-being",Healthcare professionals experience pain differently than patients,c
OIC-010-01-A,What is one key aspect of the body that is shaped by cultural traditions?,Nutrition,Physical Activity,Gender Assignment,Aesthetic Standards,d
OIC-026-03-A,What is the primary concern in managing acute abdominal pain in pregnant women with obstetrical context?,Taking the temperature,"Abdominal palpation, lumbar fossa",Vaginal examination/speculum: cervical changes/loss of fluid,Urine dipstick analysis,option_b
OIC-026-05-B,What is the recommended dose of a CT scan during early pregnancy?,100 mGy,200 mGy,300 mGy,500 mGy,b
OIC-026-01-B,What is the correct answer for the multiple-choice question on Retroplacental Haematoma?,1/3 pre-eclampsia with proteinuria (SD-212) and/or hypertension (SD-053) and vascular terrain (IUGR),2/3 prolonged premature rupture of membranes (SD-109),4/5 without terrain (inaugural HRP),3/1 uterine rupture,c
OIC-026-02-A,What is the most likely cause of acute abdominal pain in a pregnant woman?,Threat of premature delivery,Gynaecological causes,Urinary causes,Digestive causes,b
OIC-201-08-B,What is the primary mechanism of action for immunosuppressive treatment in organ transplantation?,Depletion of T lymphocytes,Inhibition of lymphocyte activation,Purine base inhibition,Anti-inflammatory and immunosuppressant,option_a
OIC-201-01-A,What is the primary difference between brain death donors and DCAD donors?,Brain death donors are typically younger than DCAD donors,DCAD donors have a higher risk of organ rejection,Both brain death donors and DCAD donors can be living donors,Living donors must undergo rigorous medical screening before donation,option_a
OIC-201-10-A,What is the main purpose of the National Register of Refusals (RNR) in France?,To identify individuals who have expressed a desire not to donate organs,To track organ donations and recipients,To monitor the effectiveness of organ donation programs,To prevent organ trafficking,a
OIC-201-06-A,What is the definition of encephalic death?,A complete loss of consciousness without any signs of brain damage,"The moment when a person's brain activity stops, but their body remains awake and alert","A temporary condition where the brain is partially damaged, but still functional","A state of deep sleep with no brain activity, but no loss of consciousness",option_a
