id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-005-12-B,"{""question"": ""What factor is not typically considered a direct cause of litigation following a medical accident?"", ""option_a"": ""The patient's state of health"", ""option_b"": ""The working environment"", ""option_c"": ""The institutional context"", ""option_d"": ""The weather conditions on the day of the accident"", ""correct_option"": ""D""}",Epidemiology,What factor is not typically considered a direct cause of litigation following a medical accident?,The patient's state of health,The working environment,The institutional context,The weather conditions on the day of the accident,d
OIC-005-13-A,"{""question"": ""What is a key characteristic of an effective team in a healthcare setting?"", ""option_a"": ""Lack of communication and conflict"", ""option_b"": ""Poor team organisation and unclear leadership"", ""option_c"": ""Clear role definition, effective communication, and debriefings"", ""option_d"": ""No need for leadership or debriefings"", ""correct_option"": ""C""}",Definition,What is a key characteristic of an effective team in a healthcare setting?,Lack of communication and conflict,Poor team organisation and unclear leadership,"Clear role definition, effective communication, and debriefings",No need for leadership or debriefings,c
OIC-005-14-B,"{""question"": ""What is the primary goal of mitigation barriers in the context of medical error management?"", ""option_a"": ""To prevent errors from occurring"", ""option_b"": ""To recover from errors before consequences arise"", ""option_c"": ""To limit the consequences of errors for patients"", ""option_d"": ""To identify the root causes of errors"", ""correct_option"": ""C""}",,What is the primary goal of mitigation barriers in the context of medical error management?,To prevent errors from occurring,To recover from errors before consequences arise,To limit the consequences of errors for patients,To identify the root causes of errors,c
OIC-005-15-B,"{""question"": ""What is the primary goal of a positive error culture in a healthcare setting?"", ""option_a"": ""To punish healthcare professionals for their mistakes"", ""option_b"": ""To identify and prevent the recurrence of errors through analysis and improvement measures"", ""option_c"": ""To shift the blame to other members of the healthcare team"", ""option_d"": ""To ignore errors and avoid taking responsibility"", ""correct_option"": ""B""}",Definition,What is the primary goal of a positive error culture in a healthcare setting?,To punish healthcare professionals for their mistakes,To identify and prevent the recurrence of errors through analysis and improvement measures,To shift the blame to other members of the healthcare team,To ignore errors and avoid taking responsibility,b
OIC-006-01-A,"{""question"": ""What is considered to be a key benefit of multi-professional teamwork in healthcare?"", ""option_a"": ""Improved patient outcomes through individual professional efforts"", ""option_b"": ""A safety barrier against adverse events, a factor in quality of patient care, a factor in health and well-being at work for professionals, and a way of responding collaboratively to patient needs"", ""option_c"": ""Enhanced efficiency in patient care through reduced team size"", ""option_d"": ""Increased patient satisfaction through personalized care"", ""correct_option"": ""B""}",Definition,What is considered to be a key benefit of multi-professional teamwork in healthcare?,Improved patient outcomes through individual professional efforts,"A safety barrier against adverse events, a factor in quality of patient care, a factor in health and well-being at work for professionals, and a way of responding collaboratively to patient needs",Enhanced efficiency in patient care through reduced team size,Increased patient satisfaction through personalized care,b
OIC-006-02-A,"{""question"": ""What is the term for a meeting where different healthcare professionals discuss the care of a patient, often to make decisions about their treatment?"", ""option_a"": ""Mortality and morbidity review"", ""option_b"": ""Multidisciplinary consultation meeting"", ""option_c"": ""Multi-professional protocol"", ""option_d"": ""Checklist in the operating theatre"", ""correct_option"": ""B""}",Definition,"What is the term for a meeting where different healthcare professionals discuss the care of a patient, often to make decisions about their treatment?",Mortality and morbidity review,Multidisciplinary consultation meeting,Multi-professional protocol,Checklist in the operating theatre,b
OIC-006-03-A,"{""question"": ""What is the primary purpose of the care pathway in patient care?"", ""option_a"": ""To provide a comprehensive overview of a patient's medical history"", ""option_b"": ""To organize and coordinate the sequence of professional skills at the right time throughout a patient's care"", ""option_c"": ""To determine the most cost-effective treatment options for a patient"", ""option_d"": ""To establish a standardized treatment protocol for all patients"", ""correct_option"": ""B""}",Definition,What is the primary purpose of the care pathway in patient care?,To provide a comprehensive overview of a patient's medical history,To organize and coordinate the sequence of professional skills at the right time throughout a patient's care,To determine the most cost-effective treatment options for a patient,To establish a standardized treatment protocol for all patients,b
OIC-006-04-B,"{""question"": ""What is the primary purpose of a multi-professional protocol in healthcare?"", ""option_a"": ""To establish individual treatment plans for patients"", ""option_b"": ""To facilitate teamwork and ensure consistency in patient care"", ""option_c"": ""To prioritize certain patient groups over others"", ""option_d"": ""To determine the allocation of resources within a healthcare system"", ""correct_option"": ""B""}",,What is the primary purpose of a multi-professional protocol in healthcare?,To establish individual treatment plans for patients,To facilitate teamwork and ensure consistency in patient care,To prioritize certain patient groups over others,To determine the allocation of resources within a healthcare system,b
OIC-006-05-A,"{""question"": ""What is the primary purpose of organizing multidisciplinary consultation meetings (RCP) in the field of oncology?"", ""option_a"": ""To discuss continuing professional development (CPD) obligations"", ""option_b"": ""To validate the diagnostic, therapeutic, and follow-up strategy for cancer patients"", ""option_c"": ""To address technical, relational, social, and ethical issues related to palliative care"", ""option_d"": ""To guarantee the best strategy for patients with complex care needs in all fields"", ""correct_option"": ""B""}",Definition,What is the primary purpose of organizing multidisciplinary consultation meetings (RCP) in the field of oncology?,To discuss continuing professional development (CPD) obligations,"To validate the diagnostic, therapeutic, and follow-up strategy for cancer patients","To address technical, relational, social, and ethical issues related to palliative care",To guarantee the best strategy for patients with complex care needs in all fields,b
OIC-006-06-A,"{""question"": ""What is the primary purpose of the checklist for patient safety in the operating theatre?"", ""option_a"": ""To ensure the completion of all surgical steps during the operation"", ""option_b"": ""To review the situation between professionals at key moments in the operation and encourage the sharing of information"", ""option_c"": ""To verify the patient's medical history before the operation"", ""option_d"": ""To monitor the patient's vital signs during the operation"", ""correct_option"": ""B""}",Definition,What is the primary purpose of the checklist for patient safety in the operating theatre?,To ensure the completion of all surgical steps during the operation,To review the situation between professionals at key moments in the operation and encourage the sharing of information,To verify the patient's medical history before the operation,To monitor the patient's vital signs during the operation,b
OIC-006-07-A,"{""question"": ""What is the primary purpose of a morbidity-mortality meeting (RMM) in a clinical setting?"", ""option_a"": ""To discuss ongoing patient care and treatment plans"", ""option_b"": ""To validate continuing professional development (CPD) obligations"", ""option_c"": ""To implement prevention, recovery or mitigation actions after an undesirable event associated with care"", ""option_d"": ""To assess the quality of care provided by a specific department"", ""correct_option"": ""C""}",Definition,What is the primary purpose of a morbidity-mortality meeting (RMM) in a clinical setting?,To discuss ongoing patient care and treatment plans,To validate continuing professional development (CPD) obligations,"To implement prevention, recovery or mitigation actions after an undesirable event associated with care",To assess the quality of care provided by a specific department,c
OIC-006-08-A,"{""question"": ""What is the primary role of the Samu-Centre 15 in emergency situations?"", ""option_a"": ""To provide emergency care directly to patients"", ""option_b"": ""To receive and regulate emergency calls, determine the appropriate response, and organise patient transport and hospital reception"", ""option_c"": ""To specialise in transporting children"", ""option_d"": ""To deal with unscheduled admissions to healthcare establishments"", ""correct_option"": ""B""}",Taking charge,What is the primary role of the Samu-Centre 15 in emergency situations?,To provide emergency care directly to patients,"To receive and regulate emergency calls, determine the appropriate response, and organise patient transport and hospital reception",To specialise in transporting children,To deal with unscheduled admissions to healthcare establishments,b
OIC-008-01-A,"{""question"": ""What is the primary reason why discrimination is difficult to measure and understand?"", ""option_a"": ""Testing is not widely used to establish the presence of a social phenomenon of discrimination"", ""option_b"": ""Stereotypes are not simplifying representations and prejudices are not preconceived opinions"", ""option_c"": ""Discrimination is caused or facilitated by social representations such as stereotypes and prejudices"", ""option_d"": ""Discrimination only affects non-vulnerable populations"", ""correct_option"": ""C""}",Definition,What is the primary reason why discrimination is difficult to measure and understand?,Testing is not widely used to establish the presence of a social phenomenon of discrimination,Stereotypes are not simplifying representations and prejudices are not preconceived opinions,Discrimination is caused or facilitated by social representations such as stereotypes and prejudices,Discrimination only affects non-vulnerable populations,c
OIC-008-02-B,"{""question"": ""What is a major consequence of experiencing discrimination?"", ""option_a"": ""Improved cardiovascular health"", ""option_b"": ""Reduced stress and better mental health"", ""option_c"": ""Increased non-take-up of public policies and healthcare services"", ""option_d"": ""Enhanced social integration and economic opportunities"", ""correct_option"": ""C""}",Definition,What is a major consequence of experiencing discrimination?,Improved cardiovascular health,Reduced stress and better mental health,Increased non-take-up of public policies and healthcare services,Enhanced social integration and economic opportunities,c
OIC-008-03-B,"{""question"": ""What is a potential consequence of the economic logic being in tension with care objectives in the healthcare system?"", ""option_a"": ""Improved quality of care for all patients"", ""option_b"": ""Increased availability of professional interpreters"", ""option_c"": ""Reinforced differential orientation of patients"", ""option_d"": ""Reduced territorial inequalities in healthcare provision"", ""correct_option"": ""C""}",Definition,What is a potential consequence of the economic logic being in tension with care objectives in the healthcare system?,Improved quality of care for all patients,Increased availability of professional interpreters,Reinforced differential orientation of patients,Reduced territorial inequalities in healthcare provision,c
OIC-009-01-A,"{""question"": ""What is the primary goal of applied ethics in the medical field?"", ""option_a"": ""To establish a set of rules for medical professionals to follow"", ""option_b"": ""To provide a framework for professional responsibility"", ""option_c"": ""To guide decision-making and promote a democratic approach to health issues"", ""option_d"": ""To enforce penalties and compensation for medical malpractice"", ""correct_option"": ""C""}",Definition,What is the primary goal of applied ethics in the medical field?,To establish a set of rules for medical professionals to follow,To provide a framework for professional responsibility,To guide decision-making and promote a democratic approach to health issues,To enforce penalties and compensation for medical malpractice,c
OIC-009-02-A,"{""question"": ""What is the primary focus of bioethics according to the definition provided in the text?"", ""option_a"": ""The development and application of biomedical technologies in all fields of science"", ""option_b"": ""The issues raised by the emergence of new biotechnologies and the questions raised by the application of these scientific advances to humans"", ""option_c"": ""The globalisation of Western biomedicine and the dissemination of universal values"", ""option_d"": ""The exploration of the problems involved in medical experimentation, resuscitation, and organ transplants"", ""correct_option"": ""B""}",Definition,What is the primary focus of bioethics according to the definition provided in the text?,The development and application of biomedical technologies in all fields of science,The issues raised by the emergence of new biotechnologies and the questions raised by the application of these scientific advances to humans,The globalisation of Western biomedicine and the dissemination of universal values,"The exploration of the problems involved in medical experimentation, resuscitation, and organ transplants",b
OIC-009-03-A,"{""question"": ""What is the process by which the Code of Medical Ethics is published and finalized?"", ""option_a"": ""The Ordre National des M\u00e9decins drafts the code, which is then published in the Journal Officiel under the signature of the President of the Ordre"", ""option_b"": ""The code is drafted by the government and approved by the Ordre National des M\u00e9decins"", ""option_c"": ""The code is drafted by the Conseil d'Etat, submitted to the Ordre National des M\u00e9decins, and published in the Journal Officiel under the signature of the Prime Minister"", ""option_d"": ""The code is drafted by the Ordre National des M\u00e9decins, submitted to the Conseil d'Etat, and published in the Journal Officiel under the signature of the President of the Ordre"", ""correct_option"": ""C""}",Definition,What is the process by which the Code of Medical Ethics is published and finalized?,"The Ordre National des Médecins drafts the code, which is then published in the Journal Officiel under the signature of the President of the Ordre",The code is drafted by the government and approved by the Ordre National des Médecins,"The code is drafted by the Conseil d'Etat, submitted to the Ordre National des Médecins, and published in the Journal Officiel under the signature of the Prime Minister","The code is drafted by the Ordre National des Médecins, submitted to the Conseil d'Etat, and published in the Journal Officiel under the signature of the President of the Ordre",c
OIC-009-04-A,"{""question"": ""What is the primary difference between the principle of beneficence and the principle of non-maleficence in the context of medical ethics?"", ""option_a"": ""Beneficence is concerned with doing good, while non-maleficence is concerned with avoiding harm"", ""option_b"": ""Beneficence is concerned with avoiding harm, while non-maleficence is concerned with doing good"", ""option_c"": ""Beneficence and non-maleficence are interchangeable terms"", ""option_d"": ""Beneficence and non-maleficence are not relevant in medical ethics"", ""correct_option"": ""A""}",Definition,What is the primary difference between the principle of beneficence and the principle of non-maleficence in the context of medical ethics?,"Beneficence is concerned with doing good, while non-maleficence is concerned with avoiding harm","Beneficence is concerned with avoiding harm, while non-maleficence is concerned with doing good",Beneficence and non-maleficence are interchangeable terms,Beneficence and non-maleficence are not relevant in medical ethics,a
OIC-009-05-A,"{""question"": ""What is the primary purpose of the information document provided to patients, apart from specific cases provided for by law?"", ""option_a"": ""To collect signed written consent"", ""option_b"": ""To provide patients with information that will enable them to come back to it once they have returned to their room or home and to ask any questions they may have"", ""option_c"": ""To ensure that the patient's autonomy is respected at all times"", ""option_d"": ""To facilitate the medical team's decision-making process"", ""correct_option"": ""B""}",,"What is the primary purpose of the information document provided to patients, apart from specific cases provided for by law?",To collect signed written consent,To provide patients with information that will enable them to come back to it once they have returned to their room or home and to ask any questions they may have,To ensure that the patient's autonomy is respected at all times,To facilitate the medical team's decision-making process,b
OIC-009-06-A,"{""question"": ""What is the primary purpose of providing information to patients in medical practice, according to the legal approach?"", ""option_a"": ""To obtain a signed written consent"", ""option_b"": ""To respect patients' autonomy of choice by giving them all the information they need to make an informed decision"", ""option_c"": ""To provide them with all the information they need to take part in their care and receive all the advice and assistance they need to organize their lives"", ""option_d"": ""To assess the quality of medical practice, particularly in the event of conflict"", ""correct_option"": ""B""}",Care,"What is the primary purpose of providing information to patients in medical practice, according to the legal approach?",To obtain a signed written consent,To respect patients' autonomy of choice by giving them all the information they need to make an informed decision,To provide them with all the information they need to take part in their care and receive all the advice and assistance they need to organize their lives,"To assess the quality of medical practice, particularly in the event of conflict",b
OIC-009-07-A,"{""question"": ""What is the primary reason for the tension between the principle of beneficence and the principle of autonomy in cases of patient refusal of care?"", ""option_a"": ""The doctor's obligation to provide treatment in emergency situations"", ""option_b"": ""The patient's right to refuse treatment even if it poses a risk to their health or life"", ""option_c"": ""The need to balance the patient's autonomy with the need to preserve their life in emergency situations"", ""option_d"": ""The doctor's inability to convince the patient of the need for treatment"", ""correct_option"": ""C""}",,What is the primary reason for the tension between the principle of beneficence and the principle of autonomy in cases of patient refusal of care?,The doctor's obligation to provide treatment in emergency situations,The patient's right to refuse treatment even if it poses a risk to their health or life,The need to balance the patient's autonomy with the need to preserve their life in emergency situations,The doctor's inability to convince the patient of the need for treatment,c
OIC-009-08-A,"{""question"": ""What is the primary role of the trusted support person in the context of healthcare?"", ""option_a"": ""To testify to the patient's wishes in major crisis situations, such as stopping or limiting care at the end of life"", ""option_b"": ""To assist the patient in his or her care, to support him or her physically and/or psychologically, and to liaise with the medical teams"", ""option_c"": ""To advise the patient on the basis of his or her experience of the illness and the sometimes complex family or emotional environment"", ""option_d"": ""To revoke the patient's designation of a trusted support person"", ""correct_option"": ""B""}",Management,What is the primary role of the trusted support person in the context of healthcare?,"To testify to the patient's wishes in major crisis situations, such as stopping or limiting care at the end of life","To assist the patient in his or her care, to support him or her physically and/or psychologically, and to liaise with the medical teams",To advise the patient on the basis of his or her experience of the illness and the sometimes complex family or emotional environment,To revoke the patient's designation of a trusted support person,b
OIC-009-09-B,"{""question"": ""What is the main difference between the traditional view of vulnerability and the ethics of care approach?"", ""option_a"": ""Vulnerability is seen as a negative condition that prevents autonomy, whereas the ethics of care sees it as a positive relational capacity"", ""option_b"": ""The traditional view sees vulnerability as a problem, while the ethics of care sees it as a solution"", ""option_c"": ""The traditional view sees vulnerability as a failure, while the ethics of care sees it as a success"", ""option_d"": ""The traditional view sees vulnerability as a mark of powerlessness, while the ethics of care sees it as a source of strength"", ""correct_option"": ""A""}",Definition,What is the main difference between the traditional view of vulnerability and the ethics of care approach?,"Vulnerability is seen as a negative condition that prevents autonomy, whereas the ethics of care sees it as a positive relational capacity","The traditional view sees vulnerability as a problem, while the ethics of care sees it as a solution","The traditional view sees vulnerability as a failure, while the ethics of care sees it as a success","The traditional view sees vulnerability as a mark of powerlessness, while the ethics of care sees it as a source of strength",a
OIC-009-10-B,"{""question"": ""What is the general principle regarding the release of medical records to a protected adult under guardianship?"", ""option_a"": ""The guardian receives the medical records directly, without the patient's knowledge"", ""option_b"": ""The adult under guardianship has the right to receive the information directly and to participate in the decision-making process"", ""option_c"": ""The consent of the legal representative alone is sufficient for the release of medical records"", ""option_d"": ""The doctor has the right to provide essential care without the guardian's consent"", ""correct_option"": ""B""}",Definition,What is the general principle regarding the release of medical records to a protected adult under guardianship?,"The guardian receives the medical records directly, without the patient's knowledge",The adult under guardianship has the right to receive the information directly and to participate in the decision-making process,The consent of the legal representative alone is sufficient for the release of medical records,The doctor has the right to provide essential care without the guardian's consent,b
OIC-009-11-A,"{""question"": ""What is the primary difference between guardianship and curatorship in terms of the degree of constraint imposed by these measures?"", ""option_a"": ""Guardianship requires the guardian's authorisation for all acts, while curatorship requires the guardianship judge's authorisation"", ""option_b"": ""Guardianship is a more protective measure, requiring the guardian to represent the adult in everyday life, while curatorship is a temporary measure with limited effects"", ""option_c"": ""Guardianship is a temporary measure with limited effects, used to deal with an emergency situation, while curatorship is a more protective measure with greater consequences"", ""option_d"": ""Guardianship is used for minors, while curatorship is used for adults"", ""correct_option"": ""B""}",,What is the primary difference between guardianship and curatorship in terms of the degree of constraint imposed by these measures?,"Guardianship requires the guardian's authorisation for all acts, while curatorship requires the guardianship judge's authorisation","Guardianship is a more protective measure, requiring the guardian to represent the adult in everyday life, while curatorship is a temporary measure with limited effects","Guardianship is a temporary measure with limited effects, used to deal with an emergency situation, while curatorship is a more protective measure with greater consequences","Guardianship is used for minors, while curatorship is used for adults",b
OIC-009-12-B,"{""question"": ""Who is responsible for appointing a curator or guardian for a person in need of protection?"", ""option_a"": ""The public prosecutor"", ""option_b"": ""The person to be protected's GP"", ""option_c"": ""The guardianship judge"", ""option_d"": ""The attending physician or hospital doctor"", ""correct_option"": ""C""}",Support,Who is responsible for appointing a curator or guardian for a person in need of protection?,The public prosecutor,The person to be protected's GP,The guardianship judge,The attending physician or hospital doctor,c
OIC-009-13-A,"{""question"": ""What is the primary purpose of the conscience clause in the French Public Health Code regarding voluntary interruption of pregnancy?"", ""option_a"": ""To guarantee that healthcare professionals are forced to carry out abortions even if they have moral objections"", ""option_b"": ""To ensure that women have access to abortion without any obstacles or delays"", ""option_c"": ""To allow healthcare professionals to refuse to perform abortions if they have moral objections, while ensuring that the woman is immediately referred to another professional"", ""option_d"": ""To impose a mandatory cooling-off period of 7 days between the first consultation and the procedure"", ""correct_option"": ""C""}",Management,What is the primary purpose of the conscience clause in the French Public Health Code regarding voluntary interruption of pregnancy?,To guarantee that healthcare professionals are forced to carry out abortions even if they have moral objections,To ensure that women have access to abortion without any obstacles or delays,"To allow healthcare professionals to refuse to perform abortions if they have moral objections, while ensuring that the woman is immediately referred to another professional",To impose a mandatory cooling-off period of 7 days between the first consultation and the procedure,c
OIC-009-14-B,"{""question"": ""What is the primary difference between IVG (voluntary termination of pregnancy) and IMG (medical termination of pregnancy) in terms of the procedure for obtaining the woman's request and consent?"", ""option_a"": ""There is no difference in the procedure for obtaining the woman's request and consent"", ""option_b"": ""The procedure for obtaining the woman's request and consent is the same, but the CPDPN is responsible for accepting the request for an abortion"", ""option_c"": ""The procedure for obtaining the woman's request and consent is the same, but termination of pregnancy for medical reasons can only be carried out by a midwife"", ""option_d"": ""The procedure for obtaining the woman's request and consent is different, and termination of pregnancy for medical reasons can only be carried out by a doctor"", ""correct_option"": ""D""}",,What is the primary difference between IVG (voluntary termination of pregnancy) and IMG (medical termination of pregnancy) in terms of the procedure for obtaining the woman's request and consent?,There is no difference in the procedure for obtaining the woman's request and consent,"The procedure for obtaining the woman's request and consent is the same, but the CPDPN is responsible for accepting the request for an abortion","The procedure for obtaining the woman's request and consent is the same, but termination of pregnancy for medical reasons can only be carried out by a midwife","The procedure for obtaining the woman's request and consent is different, and termination of pregnancy for medical reasons can only be carried out by a doctor",d
OIC-009-15-B,"{""question"": ""What is the primary purpose of non-invasive prenatal screening (NIPS) in the context of prenatal diagnosis?"", ""option_a"": ""To detect trisomy 21 at a later stage in pregnancy"", ""option_b"": ""To determine the sex of the foetus before the first trimester ultrasound"", ""option_c"": ""To provide a high level of performance in detecting foetal DNA circulating in maternal plasma"", ""option_d"": ""To offer a screening test before the end of the first trimester, allowing for a quick termination of pregnancy"", ""correct_option"": ""C""}",,What is the primary purpose of non-invasive prenatal screening (NIPS) in the context of prenatal diagnosis?,To detect trisomy 21 at a later stage in pregnancy,To determine the sex of the foetus before the first trimester ultrasound,To provide a high level of performance in detecting foetal DNA circulating in maternal plasma,"To offer a screening test before the end of the first trimester, allowing for a quick termination of pregnancy",c
OIC-009-16-B,"{""question"": ""What is the primary justification for preimplantation diagnosis (PGD) according to the French National Consultative Ethics Committee (CCNE)?"", ""option_a"": ""The search for immunological compatibility with a sick elder child"", ""option_b"": ""The birth of a child free from a serious genetic disorder"", ""option_c"": ""The choice of a child's sex for personal convenience"", ""option_d"": ""The prevention of chromosomal abnormalities"", ""correct_option"": ""B""}",Management,What is the primary justification for preimplantation diagnosis (PGD) according to the French National Consultative Ethics Committee (CCNE)?,The search for immunological compatibility with a sick elder child,The birth of a child free from a serious genetic disorder,The choice of a child's sex for personal convenience,The prevention of chromosomal abnormalities,b
OIC-009-17-A,"{""question"": ""What is the main argument used to justify the administration of analgesics to relieve a patient's suffering, even if it may accelerate death, according to the concept of double effect?"", ""option_a"": ""The principle of beneficence"", ""option_b"": ""The principle of non-maleficence"", ""option_c"": ""The double effect argument"", ""option_d"": ""The right to autonomy"", ""correct_option"": ""C""}",Definition,"What is the main argument used to justify the administration of analgesics to relieve a patient's suffering, even if it may accelerate death, according to the concept of double effect?",The principle of beneficence,The principle of non-maleficence,The double effect argument,The right to autonomy,c
OIC-009-18-A,"{""question"": ""What is the primary aim of deep and continuous sedation until death as described in the Clayes-L\u00e9onetti law?"", ""option_a"": ""To hasten the patient's death"", ""option_b"": ""To relieve refractory suffering at the end of life"", ""option_c"": ""To maintain life-sustaining treatments"", ""option_d"": ""To impose the patient's advance directives"", ""correct_option"": ""B""}",,What is the primary aim of deep and continuous sedation until death as described in the Clayes-Léonetti law?,To hasten the patient's death,To relieve refractory suffering at the end of life,To maintain life-sustaining treatments,To impose the patient's advance directives,b
OIC-009-19-B,"{""question"": ""What is the primary purpose of the collegial procedure in end-of-life situations?"", ""option_a"": ""To determine the prognosis of the patient"", ""option_b"": ""To establish the patient's wishes through advance directives, testimony, or family/friends"", ""option_c"": ""To rank the arguments of professionals according to their roles"", ""option_d"": ""To limit the involvement of family and friends in the decision-making process"", ""correct_option"": ""B""}",Management,What is the primary purpose of the collegial procedure in end-of-life situations?,To determine the prognosis of the patient,"To establish the patient's wishes through advance directives, testimony, or family/friends",To rank the arguments of professionals according to their roles,To limit the involvement of family and friends in the decision-making process,b
